Nombre de pieces;Nombre de chambres;Ascenseur;Cave;Gardien;prix;superficie;arrondissement
3.0;2;1;1;1;575000.0;74.0;0.052894
1.0;1;0;0;0;79000.0;9.0;0.053731
3.0;2;1;1;0;624000.0;55.0;0.196009
1.0;1;0;0;1;189000.0;18.0;-0.011981
1.0;1;0;0;0;249000.0;15.0;0.030506
2.0;1;0;1;0;380000.0;45.0;-0.011981
2.0;1;1;0;0;699500.0;52.0;0.030506
3.0;1;1;0;0;448000.0;50.4;-0.009978
3.0;2;1;1;1;470000.0;59.0;0.053731
4.0;3;1;1;1;687000.0;77.0;0.014442
3.0;2;0;1;0;780000.0;57.0;0.081818
4.0;3;1;1;0;850000.0;92.0;-0.001544
1.0;1;0;0;0;288000.0;27.3;0.020369
2.0;1;0;1;1;520000.0;44.4;0.014442
3.0;2;1;1;1;880000.0;85.0;0.030506
2.0;1;1;0;0;416000.0;28.6;0.016535
1.0;1;1;1;0;290000.0;35.0;-0.011981
4.0;3;1;1;1;850000.0;88.0;0.014442
3.0;2;1;0;0;380000.0;46.0;-0.011981
2.0;1;1;1;1;575000.0;59.0;0.052894
1.0;1;1;1;1;345000.0;35.0;0.052894
1.0;1;1;0;0;380000.0;32.0;0.052894
3.0;2;0;1;0;840000.0;64.8;0.020369
1.0;1;1;0;0;210000.0;16.0;0.052894
3.0;2;0;1;0;695000.0;57.0;-0.011981
2.0;1;0;1;0;320000.0;37.0;-0.001544
1.0;1;1;0;0;380000.0;27.0;0.181532
4.0;3;0;1;0;880000.0;84.0;-0.00142
3.0;2;1;0;0;840000.0;68.0;0.030025
3.0;1;0;1;0;435000.0;50.0;-0.011981
1.0;1;0;1;0;406000.0;25.0;0.081818
4.0;3;1;1;1;1350000.0;108.0;0.196009
4.0;3;1;1;0;575000.0;84.0;0.012957
2.0;1;1;0;0;429000.0;44.0;0.196009
2.0;1;0;1;0;290000.0;35.0;-0.011981
3.0;2;1;1;1;368000.0;54.7;-0.011981
4.0;3;1;1;1;600000.0;83.0;-0.011981
1.0;1;1;0;0;390000.0;26.0;0.081818
2.0;1;0;0;0;285000.0;20.1;0.030025
3.0;2;0;1;0;355000.0;47.0;-0.011981
2.0;1;0;1;0;450000.0;35.0;0.196009
6.0;3;0;0;0;2210000.0;186.0;0.020369
1.0;1;0;1;0;450000.0;34.0;0.019963
2.0;1;1;0;0;575000.0;40.0;0.081818
3.0;2;1;1;1;1000000.0;77.0;0.11758
2.0;1;1;1;1;575000.0;52.0;-0.011981
2.0;1;1;1;0;350000.0;50.0;-0.011981
3.0;2;0;0;0;630000.0;65.0;-0.011981
2.0;1;1;0;0;1250000.0;90.6;0.016535
2.0;1;0;0;0;300000.0;41.0;-0.011981
1.0;1;0;0;0;230000.0;25.0;-0.011981
2.0;1;1;1;0;774000.0;50.0;0.081818
2.0;1;0;0;0;988000.0;54.0;0.081818
2.0;1;1;1;0;659000.0;45.0;0.048162
4.0;1;0;0;0;699000.0;77.0;0.020369
3.0;2;1;1;1;743000.0;64.7;-0.00142
2.0;1;0;1;0;415000.0;45.0;0.053731
2.0;1;0;0;0;315000.0;22.0;0.052894
3.0;2;1;1;1;500000.0;53.0;0.052894
2.0;1;1;0;0;475000.0;33.0;0.05245
4.0;2;0;0;1;945000.0;64.5;0.05245
3.0;2;0;1;1;450000.0;55.0;-0.011981
4.0;2;0;1;0;390000.0;66.0;-0.011981
1.0;1;1;1;1;266000.0;28.0;0.052894
4.0;3;1;1;0;740000.0;68.0;0.053731
1.0;1;0;0;0;165000.0;17.0;0.053731
4.0;3;1;1;1;425000.0;75.0;-0.00142
1.0;1;1;0;0;175000.0;17.0;-0.011981
2.0;1;0;0;0;430000.0;39.0;0.048162
4.0;3;1;1;1;650000.0;90.0;-0.009978
2.0;1;1;0;0;520000.0;41.0;0.196009
1.0;1;0;0;0;275000.0;26.0;0.053731
2.0;1;0;1;0;400000.0;30.0;0.196009
3.0;2;0;1;1;620000.0;51.0;0.023671
4.0;3;1;0;0;980000.0;95.0;0.053731
3.0;2;1;1;0;560000.0;64.0;-0.011981
2.0;1;0;1;0;345000.0;37.0;0.053731
2.0;1;0;1;0;190000.0;23.0;-0.011981
3.0;2;0;1;0;390000.0;44.0;0.012957
1.0;1;0;0;0;125000.0;12.7;-0.00142
3.0;2;0;1;0;500000.0;50.1;-0.011981
3.0;2;0;0;0;880000.0;66.0;0.023671
1.0;1;0;0;1;185000.0;13.7;0.016535
2.0;1;0;1;0;400000.0;39.0;0.019963
2.0;1;0;0;0;590000.0;40.0;0.05245
3.0;2;0;0;0;475000.0;42.0;0.020369
2.0;1;0;1;0;429000.0;33.0;0.196009
4.0;3;1;0;0;999000.0;102.0;0.030506
3.0;2;1;1;0;480000.0;53.0;-0.009978
4.0;2;0;1;0;795000.0;103.0;-0.011981
3.0;2;0;1;0;500000.0;49.0;0.052894
2.0;1;1;1;0;550000.0;53.0;0.196009
2.0;1;0;0;0;299000.0;26.0;0.012957
3.0;2;1;0;0;600000.0;73.0;-0.011981
4.0;2;1;1;0;570000.0;65.0;-0.009978
2.0;1;1;1;0;460000.0;45.0;0.052894
3.0;2;1;1;0;800000.0;80.0;0.052894
3.0;2;0;0;0;585000.0;54.0;0.020369
4.0;2;1;1;0;650000.0;74.0;-0.00142
1.0;1;0;0;0;360000.0;38.0;0.020369
1.0;1;0;1;0;450000.0;37.8;0.081818
1.0;1;0;0;0;98000.0;10.0;-0.011981
1.0;1;0;1;0;368500.0;30.0;0.196009
2.0;1;0;0;0;351000.0;33.0;0.016535
1.0;1;0;0;0;235000.0;22.4;0.020369
2.0;1;1;1;0;315000.0;37.0;-0.011981
2.0;1;1;1;0;615000.0;55.7;0.016535
2.0;1;0;1;0;349000.0;38.7;0.019963
1.0;1;0;0;0;159000.0;24.0;-0.011981
3.0;1;0;1;0;295000.0;58.7;-0.001544
2.0;1;1;1;0;330000.0;33.0;-0.011981
2.0;1;0;0;0;240000.0;27.0;-0.011981
2.0;1;1;1;0;460000.0;40.0;0.019963
3.0;1;1;1;0;695000.0;68.0;-0.011981
4.0;3;1;1;0;500000.0;80.0;-0.011981
1.0;1;0;0;0;230000.0;26.5;-0.011981
1.0;1;1;1;1;436000.0;30.0;0.196009
3.0;2;1;1;0;500000.0;80.0;-0.011981
2.0;1;1;1;0;329000.0;27.0;0.016535
2.0;1;0;0;0;220000.0;26.0;0.053731
1.0;1;1;1;1;410000.0;33.0;0.048162
6.0;4;1;1;0;1125000.0;100.0;0.014442
2.0;1;1;1;1;510000.0;53.0;-0.009978
2.0;1;1;0;0;600000.0;40.0;0.081818
1.0;1;0;0;0;178000.0;23.0;-0.011981
3.0;2;0;1;0;760000.0;67.0;0.012957
1.0;1;1;0;0;315000.0;28.4;0.016535
1.0;1;1;0;1;262400.0;29.2;-0.001544
3.0;2;1;0;0;380000.0;60.0;-0.011981
3.0;2;0;1;0;300000.0;40.0;-0.011981
3.0;2;0;1;0;430000.0;43.0;0.019963
3.0;2;0;0;0;555000.0;56.0;0.012957
2.0;1;0;1;1;370000.0;34.0;
4.0;3;1;1;0;575000.0;87.0;-0.001544
3.0;2;0;0;0;659000.0;68.0;0.053731
3.0;2;0;1;0;549000.0;70.1;-0.009978
2.0;1;1;1;0;375000.0;43.0;0.052894
3.0;2;0;1;0;630000.0;65.0;0.023671
3.0;2;1;1;0;570000.0;50.0;-0.011981
3.0;2;1;1;0;799000.0;80.0;0.053731
4.0;2;1;1;0;775000.0;55.1;0.196009
1.0;1;1;0;1;375000.0;34.7;0.196009
2.0;1;1;0;1;525000.0;58.0;0.053731
3.0;2;0;1;0;475000.0;53.0;0.012957
3.0;2;0;0;0;500000.0;58.5;-0.011981
3.0;1;1;1;0;448000.0;56.0;0.052894
4.0;3;1;1;0;1099500.0;120.0;0.052894
1.0;1;1;1;1;520000.0;36.3;0.181532
4.0;3;1;0;0;650000.0;76.4;-0.001544
4.0;2;0;1;1;745000.0;78.0;0.014442
2.0;1;1;1;1;430000.0;49.5;0.196009
1.0;1;1;0;1;280000.0;32.0;0.014442
4.0;2;0;0;0;470000.0;53.0;0.019963
1.0;1;1;1;0;413400.0;33.3;0.05245
4.0;2;1;0;1;830000.0;85.0;0.052894
2.0;1;0;0;0;392000.0;32.0;0.016535
2.0;1;1;1;0;424000.0;50.0;0.019963
3.0;2;1;1;0;699000.0;68.0;0.019963
3.0;2;1;1;0;575000.0;59.0;0.019963
3.0;2;1;1;0;630000.0;60.0;0.019963
7.0;4;1;1;1;8995000.0;265.0;0.11758
4.0;2;0;1;0;771000.0;69.0;0.019963
1.0;1;0;1;0;230000.0;25.0;0.053731
3.0;2;1;1;1;850000.0;88.0;0.014442
3.0;2;1;1;1;1090000.0;80.0;0.196009
3.0;2;1;1;1;897000.0;85.0;0.181532
2.0;1;1;1;1;478000.0;47.0;0.196009
2.0;1;0;1;0;427000.0;52.7;0.053731
2.0;1;1;0;0;475000.0;40.0;0.016535
1.0;1;0;1;0;210000.0;16.0;0.052894
3.0;2;0;1;0;630000.0;54.0;-0.011981
2.0;1;1;1;1;830000.0;65.5;0.11758
1.0;1;0;1;0;269000.0;25.7;0.020369
3.0;2;1;1;0;1200000.0;70.0;0.05245
2.0;1;0;0;0;239500.0;25.0;-0.011981
9.0;6;1;1;0;2300000.0;192.0;0.048162
2.0;1;0;0;0;399000.0;36.0;0.052894
5.0;3;1;1;1;2950000.0;175.0;0.181532
3.0;2;0;0;0;1290000.0;88.7;0.196009
2.0;2;0;0;0;1490000.0;94.0;0.196009
2.0;1;0;0;0;649000.0;37.0;0.081818
2.0;1;0;1;1;315000.0;42.0;-0.011981
6.0;4;1;1;1;3100000.0;230.0;0.053731
1.0;1;0;0;1;165000.0;15.4;0.196009
2.0;1;0;0;0;415000.0;43.9;0.016535
2.0;1;1;1;1;1125600.0;94.1;0.196009
1.0;1;0;0;0;399000.0;25.5;0.05245
2.0;1;0;0;0;497000.0;49.1;0.012957
4.0;3;0;0;0;699000.0;105.0;-0.001544
2.0;1;0;0;0;537000.0;32.0;0.05245
1.0;1;0;0;0;192000.0;10.9;0.11758
1.0;1;0;0;0;360000.0;35.5;-0.011981
3.0;2;0;0;0;690000.0;78.0;-0.00142
2.0;1;0;0;0;440000.0;34.0;0.030506
2.0;1;1;1;0;760000.0;69.0;0.019963
3.0;2;1;1;1;598000.0;67.3;0.052894
3.0;2;1;1;1;1680000.0;80.0;0.11758
3.0;2;1;1;0;724000.0;66.0;0.053731
1.0;1;0;0;0;249000.0;20.3;-0.011981
2.0;1;0;0;0;750000.0;53.0;0.05245
4.0;3;1;1;1;1400000.0;130.0;0.052894
4.0;2;1;1;0;750000.0;69.0;0.014442
3.0;2;1;1;1;710000.0;77.4;0.052894
7.0;5;1;1;1;1345000.0;163.0;0.052894
4.0;3;0;1;0;885000.0;94.0;0.012957
4.0;3;0;1;0;630000.0;67.0;-0.00142
1.0;1;1;0;0;92000.0;8.0;0.012957
2.0;1;0;1;0;220000.0;32.0;-0.001544
4.0;2;1;1;1;795000.0;82.0;0.196009
7.0;5;1;1;1;2490000.0;216.8;0.196009
4.0;3;1;1;0;1545000.0;113.0;0.016535
3.0;1;0;0;0;495000.0;43.0;-0.001544
2.0;1;1;0;0;475000.0;33.0;0.05245
3.0;2;1;0;0;780000.0;68.0;0.014442
1.0;1;1;0;1;470000.0;31.0;0.181532
2.0;1;0;0;0;439900.0;34.2;0.048162
3.0;2;1;0;1;520000.0;70.0;-0.009978
1.0;1;1;0;1;235000.0;22.0;0.052894
1.0;1;0;0;0;189900.0;18.0;-0.00142
8.0;4;1;1;0;3350000.0;205.8;0.081818
3.0;2;0;0;0;749000.0;65.0;0.019963
3.0;2;0;1;0;880000.0;76.0;0.196009
2.0;1;0;1;0;190000.0;24.0;-0.011981
3.0;2;1;1;0;669500.0;73.3;0.052894
1.0;1;0;0;0;270000.0;17.0;0.081818
2.0;1;0;1;0;330750.0;36.0;0.019963
3.0;2;1;0;0;428000.0;43.0;0.053731
1.0;1;0;0;0;252000.0;25.0;-0.011981
1.0;1;0;0;0;300000.0;30.0;-0.011981
3.0;1;1;1;1;875000.0;66.0;0.053731
3.0;1;1;1;0;795000.0;77.0;0.053731
2.0;1;1;1;1;630000.0;53.0;0.196009
6.0;4;1;1;0;2140000.0;176.0;0.181532
1.0;1;0;0;0;550000.0;40.0;0.05245
3.0;2;1;1;0;740000.0;66.0;0.020369
5.0;3;1;1;0;819000.0;112.4;0.052894
1.0;1;1;0;1;350000.0;26.0;0.014442
3.0;2;1;0;1;615000.0;62.0;0.052894
2.0;1;1;0;0;787500.0;57.0;0.081818
2.0;1;0;0;0;540000.0;47.0;0.020369
3.0;2;1;1;1;485000.0;57.0;-0.001544
2.0;1;1;1;0;525000.0;52.4;0.052894
3.0;2;1;1;1;765000.0;66.0;0.196009
3.0;1;1;1;0;522500.0;55.0;-0.001544
2.0;1;0;0;0;475000.0;26.0;-0.011981
3.0;2;1;1;1;704900.0;63.0;0.020369
4.0;3;1;0;1;1350000.0;140.0;0.196009
5.0;4;1;1;0;892500.0;72.0;0.019963
3.0;2;1;0;0;870000.0;75.0;0.196009
3.0;2;0;0;0;570000.0;45.0;0.012957
2.0;1;1;1;0;329000.0;39.0;-0.011981
3.0;2;0;1;1;475000.0;40.3;-0.00142
2.0;1;1;1;0;330000.0;43.0;-0.00142
2.0;1;1;1;1;570000.0;44.1;0.052894
