Nombre de pieces;Nombre de chambres;Superficie salon (m);Balcon;Ascenseur;Parking;Cave;Accessible_mobilit_rduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis  vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
4.0;3;31.0;1;1;0;1;0;0;0;0;0;0;0;0;3.0;3.0;1.0;765000.0;102.0;94220;0;2.0;6.0
2.0;1;23.5;0;1;0;0;0;0;0;1;0;0;1;1;-1.0;3.0;3.0;335000.0;47.5;94200;0;2.0;5.0
4.0;3;40.0;1;1;0;1;0;0;0;0;1;0;0;1;-1.0;4.0;4.0;550000.0;100.2;94170;5657;2.0;4.0
4.0;3;19.0;1;1;0;1;0;1;0;1;1;0;0;0;-1.0;4.0;4.0;250000.0;76.0;94120;334872;8.0;12.0
4.0;3;20.0;0;0;0;1;0;0;0;0;1;0;0;1;5.0;5.0;5.0;395000.0;79.0;94270;3249;1.0;5.0
5.0;3;58.0;1;1;1;0;0;1;0;1;0;0;0;1;-1.0;3.0;3.0;410000.0;113.0;94600;6444;2.0;2.0
1.0;1;23.0;0;1;0;0;0;1;0;0;1;0;0;1;1.0;3.0;3.0;185000.0;29.0;94000;1320;4.0;4.0
5.0;2;30.0;1;1;1;0;0;1;0;0;1;0;0;1;5.0;4.0;3.0;280000.0;101.0;94000;4608;2.0;17.0
3.0;2;20.0;1;1;0;1;0;0;0;0;1;0;0;1;3.0;5.0;2.0;449000.0;68.0;94270;1620;10.0;10.0
5.0;3;118.0;1;1;1;0;0;0;0;0;0;1;0;1;3.0;3.0;1.0;580000.0;117.7;94140;3200;4.0;4.0
4.0;2;32.6;1;1;0;0;0;1;0;0;0;0;0;1;5.0;3.0;2.0;315000.0;80.0;94000;3472;3.0;4.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;0;0;0;1;-1.0;5.0;5.0;333000.0;34.0;94160;1678;2.0;7.0
3.0;2;-1.0;1;1;1;0;0;0;0;0;0;0;0;0;-1.0;3.0;3.0;390000.0;55.2;94700;0;1.0;5.0
4.0;3;20.0;0;0;1;1;0;0;0;0;0;0;0;1;-1.0;5.0;3.0;290000.0;84.0;94240;3000;1.0;4.0
3.0;2;16.0;1;0;0;1;0;1;0;0;0;0;0;1;1.0;5.0;5.0;279000.0;60.0;94140;2460;1.0;4.0
4.0;3;17.0;0;0;1;1;0;0;0;0;1;0;0;1;3.0;4.0;2.0;224500.0;70.0;94420;1726;2.0;3.0
5.0;3;30.0;0;1;1;0;0;0;0;0;0;1;0;0;5.0;5.0;2.0;430000.0;90.0;94400;2214;3.0;-1.0
5.0;3;-1.0;0;1;0;0;0;1;0;1;0;1;0;0;3.0;4.0;4.0;189000.0;81.0;94500;0;7.0;8.0
5.0;3;-1.0;1;1;1;1;0;1;0;1;0;0;0;0;3.0;6.0;6.0;730000.0;126.0;94200;0;1.0;5.0
4.0;3;-1.0;1;1;1;0;0;0;0;0;0;0;0;0;-1.0;3.0;3.0;289000.0;85.7;94420;3600;4.0;-1.0
3.0;2;-1.0;0;1;0;1;0;1;0;0;1;0;0;1;-1.0;4.0;2.0;425000.0;73.0;94270;2540;2.0;4.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;1;0;0;3.0;5.0;2.0;229000.0;39.0;94100;0;1.0;3.0
6.0;3;-1.0;0;0;0;1;0;0;0;0;0;0;0;1;-1.0;6.0;6.0;385000.0;79.0;94400;5400;3.0;3.0
2.0;1;-1.0;1;1;0;1;0;0;0;0;1;0;0;0;3.0;4.0;4.0;280000.0;41.3;94210;1913;5.0;7.0
3.0;2;-1.0;0;0;0;1;0;1;0;1;0;1;0;0;3.0;2.0;1.0;449000.0;68.0;94270;1560;1.0;3.0
2.0;1;21.0;1;1;0;1;0;1;0;1;0;0;0;0;5.0;4.0;2.0;299500.0;55.3;94230;1740;3.0;5.0
4.0;3;-1.0;1;1;0;0;0;0;0;0;0;1;0;0;3.0;3.0;2.0;399000.0;79.0;94000;3300;0.0;3.0
4.0;3;-1.0;0;0;1;1;0;0;0;0;0;0;0;0;3.0;4.0;4.0;169000.0;70.0;94420;0;3.0;-1.0
2.0;1;-1.0;1;1;0;0;0;0;0;0;0;0;0;1;-1.0;4.0;2.0;349000.0;50.0;94360;1300;0.0;4.0
4.0;3;20.0;0;1;1;0;0;1;0;0;0;0;0;0;-1.0;2.0;2.0;426000.0;83.0;94200;2991;0.0;5.0
3.0;2;24.0;0;1;1;0;0;1;0;1;0;1;0;1;5.0;3.0;2.0;290000.0;61.0;94000;2292;0.0;5.0
4.0;3;33.0;1;1;1;0;0;1;0;1;0;0;0;0;3.0;-1.0;-1.0;385000.0;87.6;94350;0;2.0;5.0
3.0;2;24.0;0;1;1;0;0;1;0;1;0;1;0;1;5.0;3.0;2.0;309000.0;62.0;94000;2616;0.0;5.0
3.0;2;23.0;0;1;1;0;0;1;0;1;0;1;0;1;5.0;3.0;2.0;309000.0;64.0;94000;2388;0.0;5.0
5.0;3;-1.0;0;0;1;1;0;0;0;0;0;0;0;0;-1.0;3.0;3.0;255000.0;95.0;94440;3688;-1.0;-1.0
4.0;4;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;4.0;2.0;330000.0;96.7;94700;4000;0.0;1.0
7.0;4;-1.0;0;1;0;1;0;0;0;0;1;0;0;1;-1.0;5.0;5.0;790000.0;131.7;94210;5598;-1.0;-1.0
5.0;3;-1.0;0;0;1;1;0;0;0;0;0;0;0;0;-1.0;5.0;5.0;599000.0;110.9;94210;6612;-1.0;-1.0
2.0;1;-1.0;1;1;1;0;0;0;0;0;0;0;0;0;-1.0;4.0;2.0;199000.0;42.1;94420;1080;-1.0;-1.0
2.0;1;24.0;0;0;1;1;0;0;0;0;0;0;0;0;-1.0;5.0;5.0;299000.0;56.0;94700;2250;0.0;4.0
2.0;1;-1.0;0;0;1;0;0;0;0;0;0;0;0;1;-1.0;-1.0;3.0;239900.0;35.6;94700;520;0.0;-1.0
