Prix;Arrondissement;Nombre de pieces;Nombre de chambres;Superficie;Superficie salon (m²);Etage;Nombre d'etages;Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Charge annuelles;Exposition;DPE;GES
765 000 €;Charenton-le-Pont (94220);4.0;3;102 m²;31.0;2;6.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Sud-ouest;C;A
335 000 €;Ivry-sur-Seine (94200);2.0;1;47,5 m²;23.5;2;5.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Oui;;;C;C
550 000 €;Le Perreux-sur-Marne (94170);4.0;3;100,2 m²;40.0;2;4.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;5 657 €/an;;D;D
250 000 €;Fontenay-sous-Bois (94120);4.0;3;76 m²;19.0;8;12.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;3 348,72 €/an;;D;D
395 000 €;Le Kremlin-Bicêtre (94270);4.0;3;79 m²;20.0;1;5.0;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;3 249 €/an;Sud;E;E
410 000 €;Choisy-le-Roi (94600);5.0;3;113 m²;58.0;2;2.0;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;6 444 €/an;;C;C
185 000 €;Créteil (94000);1.0;1;29 m²;23.0;4;4.0;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;1 320 €/an;Nord-ouest;C;C
280 000 €;Créteil (94000);5.0;2;101 m²;30.0;2;17.0;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;4 608 €/an;Sud;D;C
449 000 €;Le Kremlin-Bicêtre (94270);3.0;2;68 m²;20.0;10;10.0;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;1 620 €/an;Sud-ouest;E;B
484 000 €;Paris 4ème (75004);1.0;1;33 m²;19.0;3;6.0;Non;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;1 428 €/an;Ouest;C;C
580 000 €;Alfortville (94140);5.0;3;117,7 m²;118.0;4;4.0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;3 200 €/an;Sud-ouest;C;A
315 000 €;Créteil (94000);4.0;2;80 m²;32.6;3;4.0;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;3 472 €/an;Sud;C;B
333 000 €;Saint-Mandé (94160);2.0;1;34 m²;;2;7.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;1 678 €/an;;E;E
390 000 €;Maisons-Alfort (94700);3.0;2;55,2 m²;;1;5.0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;;;C;C
290 000 €;L Hay les Roses (94240);4.0;3;84 m²;20.0;1;4.0;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;3 000 €/an;;E;C
279 000 €;Alfortville (94140);3.0;2;60 m²;16.0;1;4.0;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;2 460 €/an;Nord-ouest;E;E
224 500 €;Le Plessis-Trévise (94420);4.0;3;70 m²;17.0;2;3.0;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;1 726 €/an;Est;D;B
430 000 €;Vitry-sur-Seine (94400);5.0;3;90 m²;30.0;3ème;;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;2 214 €/an;Sud;E;B
189 000 €;Champigny-sur-Marne (94500);5.0;3;81 m²;;7;8.0;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;;Ouest;D;D
