Nombre de pieces;Nombre de chambres;Superficie salon (m²);Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
3.0;2;29.0;0;1;1;1;0;0;0;0;1;0;0;0;5.0;3.0;3.0;575000;74.0;75015;4215;3.0;11.0
1.0;1;9.0;0;0;0;0;0;1;0;1;0;0;1;1;3.0;5.0;3.0;79000;9.0;75017;600;7.0;7.0
3.0;2;-1.0;0;1;0;1;0;0;0;0;0;0;0;1;-1.0;5.0;5.0;624000;55.0;75016;0;5.0;5.0
1.0;1;18.0;0;0;0;0;0;1;0;1;1;0;1;1;3.0;5.0;2.0;189000;18.0;75018;848;4.0;6.0
1.0;1;10.0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;4.0;2.0;249000;15.0;75003;840;3.0;4.0
2.0;1;-1.0;0;0;0;1;0;0;0;1;0;0;1;1;5.0;4.0;4.0;380000;45.0;75018;1400;1.0;5.0
2.0;1;34.7;0;1;0;0;0;1;0;1;0;1;0;1;3.0;3.0;3.0;699500;52.0;75003;3272;5.0;7.0
3.0;1;-1.0;0;1;0;0;0;0;0;0;0;0;0;1;-1.0;4.0;4.0;448000;50.4;75019;3000;4.0;1.0
3.0;2;18.0;1;1;0;1;0;1;1;1;1;1;1;1;3.0;3.0;3.0;470000;59.0;75017;3000;4.0;-1.0
4.0;3;25.0;0;1;0;1;0;1;1;1;1;0;0;1;1.0;5.0;5.0;687000;77.0;75012;0;1.0;9.0
3.0;2;22.0;0;0;0;1;0;0;0;0;0;0;0;0;-1.0;5.0;5.0;780000;57.0;75006;0;3.0;5.0
4.0;3;-1.0;1;1;1;1;0;1;0;1;0;0;1;1;5.0;4.0;2.0;850000;92.0;75020;0;1.0;6.0
1.0;1;24.6;0;0;0;0;0;1;0;0;0;1;0;1;3.0;5.0;2.0;288000;27.3;75011;132544;1.0;5.0
2.0;1;26.0;1;0;0;1;0;0;0;1;1;1;0;1;-1.0;6.0;3.0;520000;44.4;75012;0;1.0;1.0
3.0;2;33.0;1;1;1;1;0;1;0;1;1;0;1;1;5.0;4.0;1.0;880000;85.0;75003;0;1.0;5.0
2.0;1;-1.0;0;1;0;0;0;0;0;0;0;0;0;1;-1.0;5.0;3.0;416000;28.6;75005;1164;5.0;5.0
1.0;1;20.4;0;1;0;1;0;1;0;1;0;0;1;1;3.0;4.0;4.0;290000;35.0;75018;2700;3.0;6.0
4.0;3;34.0;0;1;1;1;0;1;1;1;1;0;1;1;5.0;3.0;1.0;850000;88.0;75012;0;4.0;5.0
3.0;2;-1.0;0;1;0;0;0;0;0;0;0;1;0;1;3.0;5.0;3.0;380000;46.0;75018;1620;2.0;6.0
2.0;1;23.0;1;1;1;1;0;0;0;0;1;0;0;1;3.0;4.0;3.0;575000;59.0;75015;3400;16.0;22.0
1.0;1;35.0;0;1;0;1;0;0;0;0;1;0;0;1;3.0;4.0;3.0;345000;35.0;75015;1780;1.0;8.0
1.0;1;32.0;1;1;0;0;0;0;0;0;0;1;0;1;3.0;4.0;4.0;380000;32.0;75015;0;3.0;9.0
3.0;2;34.0;0;0;1;1;0;0;0;0;0;1;0;1;3.0;5.0;2.0;840000;64.8;75011;2000;1.0;6.0
1.0;1;16.0;0;1;0;0;0;0;0;1;0;1;1;1;-1.0;5.0;2.0;210000;16.0;75015;600;2.0;4.0
3.0;2;-1.0;0;0;0;1;0;1;0;1;0;0;1;1;5.0;5.0;2.0;695000;57.0;75018;1824;1.0;6.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;3.0;1.0;320000;37.0;75020;0;1.0;6.0
1.0;1;19.0;1;1;0;0;0;0;0;0;0;1;0;0;5.0;4.0;4.0;380000;27.0;75008;1630;3.0;6.0
4.0;3;-1.0;0;0;0;1;0;1;0;0;0;0;1;1;3.0;4.0;4.0;880000;84.0;75013;0;2.0;5.0
3.0;2;-1.0;0;1;1;0;0;0;0;0;0;1;0;1;5.0;5.0;2.0;840000;68.0;75001;2480;3.0;4.0
3.0;1;-1.0;0;0;0;1;0;1;0;1;0;0;0;1;3.0;5.0;5.0;435000;50.0;75018;1704;3.0;3.0
1.0;1;20.0;0;0;0;1;0;1;0;1;0;1;0;0;3.0;5.0;5.0;406000;25.0;75006;2704;5.0;7.0
4.0;3;32.0;1;1;1;1;0;0;0;0;1;0;0;0;1.0;4.0;4.0;1350000;108.0;75016;0;2.0;7.0
4.0;3;17.6;0;1;0;1;0;0;0;0;0;0;0;0;1.0;5.0;5.0;575000;84.0;75010;3036;3.0;6.0
2.0;1;18.0;0;1;0;0;0;1;0;1;0;1;0;1;-1.0;5.0;3.0;429000;44.0;75016;2000;6.0;6.0
2.0;1;-1.0;0;0;0;1;0;1;0;1;0;0;0;1;-1.0;6.0;3.0;290000;35.0;75018;1400;5.0;-1.0
3.0;2;-1.0;0;1;0;1;0;1;0;1;1;0;1;1;3.0;5.0;5.0;368000;54.7;75018;2700;1.0;9.0
4.0;3;-1.0;1;1;1;1;0;1;0;1;1;0;0;1;3.0;5.0;3.0;600000;83.0;75018;3876;5.0;12.0
1.0;1;26.0;0;1;0;0;0;0;0;0;0;0;0;0;3.0;4.0;4.0;390000;26.0;75006;0;2.0;3.0
2.0;1;15.0;0;0;0;0;0;0;0;0;0;1;0;1;3.0;4.0;4.0;285000;20.1;75001;1200;4.0;6.0
3.0;2;22.4;0;0;0;1;0;1;0;1;0;0;0;0;3.0;6.0;3.0;355000;47.0;75018;1332;2.0;5.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;5.0;5.0;5.0;450000;35.0;75016;1235;2.0;4.0
6.0;3;53.0;0;0;0;0;0;1;0;0;0;1;0;1;3.0;4.0;4.0;2210000;186.0;75011;1300;1.0;2.0
1.0;1;34.0;0;0;1;1;0;0;0;0;0;0;1;0;-1.0;5.0;5.0;450000;34.0;75014;2016;2.0;5.0
2.0;1;19.0;0;1;0;0;0;1;0;0;0;0;0;1;5.0;4.0;1.0;575000;40.0;75006;1200;1.0;5.0
3.0;2;37.0;1;1;0;1;0;0;0;0;1;0;0;0;-1.0;3.0;3.0;1000000;77.0;75007;0;4.0;9.0
2.0;1;22.0;0;1;0;1;0;0;0;1;1;0;0;1;3.0;5.0;5.0;575000;52.0;75018;2500;1.0;8.0
2.0;1;26.7;0;1;0;1;0;1;0;1;0;0;0;0;3.0;5.0;2.0;350000;50.0;75018;2268;4.0;6.0
3.0;2;-1.0;0;0;0;0;0;1;0;1;0;0;1;1;3.0;5.0;2.0;630000;65.0;75018;1868;3.0;6.0
2.0;1;48.4;0;1;0;0;0;1;0;1;0;1;1;1;1.0;4.0;2.0;1250000;90.6;75005;0;1.0;5.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;3.0;300000;41.0;75018;0;1.0;5.0
1.0;1;25.0;1;0;0;0;0;0;0;0;0;0;0;1;5.0;6.0;3.0;230000;25.0;75018;1428;3.0;4.0
2.0;1;24.0;1;1;0;1;0;0;0;0;0;0;0;1;3.0;4.0;4.0;774000;50.0;75006;4000;4.0;-1.0
2.0;1;26.0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;3.0;1.0;988000;54.0;75006;1600;3.0;5.0
2.0;1;-1.0;1;1;0;1;0;0;0;0;0;0;0;1;-1.0;4.0;2.0;659000;45.0;75002;1500;5.0;5.0
4.0;1;30.0;0;0;0;0;0;1;1;0;0;1;0;1;-1.0;5.0;2.0;699000;77.0;75011;2060;4.0;6.0
3.0;2;-1.0;1;1;0;1;0;0;1;0;1;0;0;1;-1.0;4.0;4.0;743000;64.7;75013;3224;7.0;11.0
2.0;1;-1.0;0;0;0;1;0;0;0;1;0;0;0;0;-1.0;6.0;3.0;415000;45.0;75017;960;5.0;6.0
